Last 4 digits of your student ID	Total	7_new
168	91	8
261	74	8
577	46	0
668	41	0
820	68	8
854	68	0
1008	0	
1292	100	8
1469	64	0
1635	63	8
1683	68	8
1807	97	8
1882	83	8
1904	94	8
2085	77	0
2222	82	8
2335	89	0
2384	71	8
2401	91	8
2758	97	8
2834	92	8
2863	42	0
2903	80	0
2982	57	0
2994	89	8
3052	68	8
3095	75	0
3217	71	0
3287	89	8
3288	65	8
3290	63	8
3293	49	8
3303	62	8
3305	70	0
3307	91	8
3320	54	0
3322	58	0
3382	57	0
3582	37	0
3626	80	8
3932	62	0
3993	46	0
4014	50	0
4600	60	0
4689	79	8
4808	0	
4833	62	8
4856	63	0
4866	94	8
4915	83	8
4916	82	8
4939	85	8
4944	83	8
5005	69	8
5064	74	0
5324	58	0
5385	72	8
5439	74	8
5472	80	8
5566	70	8
5580	52	0
5610	78	0
5627	63	8
5694	84	0
5710	97	8
5719	81	8
5726	50	0
5788	52	0
5812	97	8
8141	43	0
8352	39	0
